Date Scraped,Type,LocalAirport,Origin/Destination,Airline,Status,Expected,Actual,Delay
08-11-24 23:55,Departures,Basel,Alicante,easyJet,Departed,2000-01-01 13:40:00,2000-01-01 13:40:00,0.0
08-11-24 23:55,Departures,Basel,Bristol,easyJet,Departed,2000-01-01 13:49:00,2000-01-01 13:49:00,0.0
08-11-24 23:55,Departures,Basel,Antalya,SunExpress,Departed,2000-01-01 13:51:00,2000-01-01 13:51:00,0.0
08-11-24 23:55,Departures,Basel,Sofia,Wizz Air,Departed,2000-01-01 14:15:00,2000-01-01 14:43:00,28.0
08-11-24 23:55,Departures,Basel,Pristina,GP Aviation,Departed,2000-01-01 14:07:00,2000-01-01 14:07:00,0.0
08-11-24 23:55,Departures,Basel,Barcelona,Vueling,Departed,2000-01-01 15:00:00,2000-01-01 15:09:00,9.0
08-11-24 23:55,Departures,Basel,Rome,easyJet,Departed,2000-01-01 14:29:00,2000-01-01 14:29:00,0.0
08-11-24 23:55,Departures,Basel,Frankfurt,Lufthansa,Departed,2000-01-01 14:24:00,2000-01-01 14:24:00,0.0
08-11-24 23:55,Departures,Basel,Algiers,ASL Airlines France,Departed,2000-01-01 14:30:00,2000-01-01 14:45:00,15.0
08-11-24 23:55,Departures,Basel,Budapest,Wizz Air,Departed,2000-01-01 14:17:00,2000-01-01 14:17:00,0.0
08-11-24 23:55,Departures,Basel,Skopje,Wizz Air,Departed,2000-01-01 15:55:00,2000-01-01 16:14:00,19.0
08-11-24 23:55,Departures,Basel,Copenhagen,easyJet,Departed,2000-01-01 14:40:00,2000-01-01 14:40:00,0.0
08-11-24 23:55,Departures,Basel,Valencia,easyJet,Departed,2000-01-01 14:50:00,2000-01-01 14:50:00,0.0
08-11-24 23:55,Departures,Basel,Paris Charles De Gaulle,Air France,Departed,2000-01-01 14:55:00,2000-01-01 14:55:00,0.0
08-11-24 23:55,Departures,Basel,Istanbul Sabiha Gökcen,Ajet,Departed,2000-01-01 14:47:00,2000-01-01 14:47:00,0.0
08-11-24 23:55,Departures,Basel,Hamburg,easyJet,Departed,2000-01-01 15:27:00,2000-01-01 15:27:00,0.0
08-11-24 23:55,Departures,Basel,Iasi,Wizz Air,Departed,2000-01-01 15:37:00,2000-01-01 15:37:00,0.0
08-11-24 23:55,Departures,Basel,London Heathrow,British Airways,Departed,2000-01-01 16:07:00,2000-01-01 16:07:00,0.0
